Unnamed: 0,target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
0,9,8,-1.0,40.0,32,101,83,27.473263025283813,False
1,1,2,-1.0,10.0,65,101,80,37.853092670440674,False
2,1,3,1.0,30.0,78,101,70,48.641496896743774,False
3,9,6,1.0,10.0,96,101,82,54.20752763748169,False
4,1,8,-1.0,30.0,52,101,80,34.13802528381348,False
5,9,9,1.0,50.0,83,101,81,49.6611123085022,False
6,9,7,1.0,20.0,85,101,79,50.93527579307556,False
7,0,0,-1.0,10.0,63,101,67,39.63904023170471,False
8,8,7,-1.0,20.0,43,101,86,30.6830792427063,False
9,9,8,-1.0,70.0,30,101,84,26.48321032524109,False
10,4,3,1.0,30.0,90,101,81,52.73405075073242,False
11,5,5,1.0,30.0,81,101,70,49.66720628738403,False
12,2,1,-1.0,10.0,63,101,84,37.2913818359375,False
13,6,7,1.0,-1.0,67,101,65,44.8280565738678,False
14,2,1,1.0,70.0,73,101,82,46.80258107185364,False
15,11,4,1.0,20.0,92,101,67,53.50212383270264,False
16,0,1,1.0,60.0,87,101,75,55.09018683433533,False
17,3,3,1.0,70.0,70,101,84,45.80421543121338,False
18,11,5,-1.0,-1.0,100,101,68,49.67549276351929,False
19,10,3,1.0,70.0,86,101,74,51.583709478378296,False
20,8,1,1.0,70.0,66,101,82,44.46624660491944,False
21,6,7,-1.0,40.0,37,101,70,29.196629762649536,False
22,9,5,-1.0,70.0,30,101,84,26.47586441040039,False
23,5,7,-1.0,50.0,35,101,71,27.59995174407959,False
24,8,7,-1.0,40.0,32,101,77,27.286226511001587,False
25,8,3,-1.0,-1.0,100,101,82,49.66863059997559,False
26,7,5,1.0,60.0,84,101,77,50.3920624256134,False
27,8,7,1.0,20.0,88,101,82,51.87801146507263,False
28,0,0,1.0,40.0,73,101,69,46.411967277526855,False
29,1,5,1.0,70.0,73,101,81,47.00397872924805,False
30,6,5,1.0,60.0,83,101,67,50.247233867645264,False
31,10,7,-1.0,40.0,33,101,69,26.39648532867432,False
32,7,2,1.0,20.0,86,101,78,51.090309858322144,False
33,7,6,1.0,60.0,71,101,76,45.8475239276886,False
34,2,9,-1.0,70.0,22,101,84,23.65882682800293,False
35,11,9,1.0,60.0,77,101,65,48.33112406730652,False
36,6,2,-1.0,30.0,40,101,57,29.97371864318848,False
37,7,9,-1.0,20.0,44,101,71,31.04973816871643,False
38,11,4,-1.0,10.0,68,101,69,39.014307498931885,False
39,0,0,-1.0,30.0,36,101,75,28.48408317565918,False
40,1,5,1.0,10.0,93,101,76,52.93238258361816,False
41,9,4,-1.0,60.0,25,101,81,24.550413608551025,False
42,1,1,1.0,70.0,85,101,76,51.09274172782898,False
43,7,4,1.0,30.0,85,101,79,51.06110000610352,False
44,5,9,1.0,50.0,89,101,77,51.88368844985962,False
45,3,6,1.0,20.0,84,101,80,50.34331798553467,False
46,9,6,-1.0,70.0,30,101,74,26.434123516082764,False
47,4,7,1.0,60.0,73,101,83,46.659857749938965,False
48,4,4,1.0,-1.0,67,101,82,43.38601756095886,False
49,8,4,1.0,60.0,76,101,78,47.54953575134277,False
50,5,4,1.0,40.0,76,101,69,47.50697207450867,False
51,6,1,-1.0,50.0,25,101,61,24.123353719711304,False
52,6,7,1.0,40.0,76,101,66,46.954891204833984,False
53,6,0,1.0,60.0,76,101,69,47.59769487380981,False
54,4,4,1.0,60.0,74,101,75,47.00011372566223,False
55,0,0,1.0,20.0,82,101,76,49.30219984054565,False
56,4,7,1.0,40.0,73,101,83,46.41211271286011,False
57,4,2,1.0,70.0,86,101,80,51.48028254508972,False
58,4,8,-1.0,10.0,72,101,81,40.42997121810913,False
59,10,9,-1.0,40.0,41,101,75,28.962364673614506,False
60,5,5,-1.0,-1.0,100,101,70,50.019606590271,False
61,4,9,-1.0,-1.0,100,101,74,49.6362361907959,False
62,1,9,1.0,20.0,88,101,78,51.73642611503601,False
63,6,2,1.0,10.0,95,101,71,53.79844260215759,False
64,9,7,1.0,30.0,85,101,79,51.14151859283447,False
65,10,2,-1.0,50.0,33,101,55,26.858867645263672,False
66,11,7,1.0,40.0,86,101,65,51.57280373573303,False
67,7,7,1.0,70.0,79,101,67,49.21004748344421,False
68,6,1,-1.0,10.0,72,101,66,40.339799880981445,False
69,2,8,1.0,-1.0,60,101,86,40.98610877990723,False
70,4,7,1.0,10.0,95,101,80,53.836918592453,False
71,7,9,-1.0,10.0,64,101,73,37.65038824081421,False
72,10,6,1.0,60.0,78,101,74,48.40597462654114,False
73,7,1,-1.0,60.0,24,101,75,24.033689498901367,False
74,0,1,1.0,-1.0,75,101,77,46.01305508613586,False
75,1,5,-1.0,40.0,38,101,82,29.384286880493164,False
76,2,5,1.0,60.0,78,101,87,48.21347117424011,False
77,6,7,-1.0,60.0,37,101,69,28.73349094390869,False
78,1,9,1.0,10.0,93,101,78,53.0824830532074,False
79,7,7,-1.0,50.0,28,101,61,25.152644157409668,False
80,0,1,-1.0,10.0,60,101,73,36.184579372406006,False
81,9,5,-1.0,60.0,35,101,79,27.876962661743164,False
82,4,7,-1.0,50.0,36,101,77,27.92022681236267,False
83,8,7,-1.0,60.0,39,101,66,29.28758931159973,False
84,1,5,1.0,-1.0,60,101,83,40.87555813789368,False
85,6,4,-1.0,60.0,32,101,67,30.37209892272949,False
86,5,2,1.0,50.0,75,101,79,46.926814794540405,False
87,5,6,-1.0,20.0,46,101,63,31.784754037857056,False
88,6,3,-1.0,40.0,34,101,70,28.113447904586792,False
89,3,9,-1.0,40.0,28,101,84,26.06590723991394,False
90,3,2,-1.0,20.0,41,101,88,30.01101779937744,False
91,8,1,1.0,10.0,90,101,83,52.0055422782898,False
92,9,2,1.0,50.0,78,101,86,48.22531032562256,False
93,2,1,-1.0,-1.0,100,101,87,49.67566823959351,False
94,5,3,-1.0,10.0,60,101,69,36.17230820655823,False
95,10,8,1.0,-1.0,65,101,77,42.79452705383301,False
96,1,7,-1.0,60.0,35,101,71,27.892053604125977,False
97,3,0,1.0,10.0,96,101,88,54.00879454612732,False
98,11,1,1.0,-1.0,62,101,64,41.74267578125,False
99,0,4,-1.0,30.0,45,101,75,31.65626263618469,False
100,4,8,1.0,40.0,86,101,71,50.46019172668457,False
101,11,8,-1.0,60.0,27,101,68,25.183552742004395,False
102,11,5,1.0,-1.0,72,101,61,45.404141664505005,False
103,2,8,-1.0,40.0,33,101,83,27.540656089782715,False
104,2,1,1.0,40.0,78,101,82,47.83106184005737,False
105,5,4,-1.0,20.0,54,101,72,34.58724021911621,False
106,11,0,1.0,70.0,71,101,53,51.31568932533264,False
107,6,7,-1.0,20.0,50,101,75,33.1133086681366,False
108,9,3,-1.0,-1.0,100,101,83,50.48382616043091,False
109,11,3,1.0,30.0,93,101,60,53.95930290222168,False
110,0,2,1.0,40.0,74,101,67,46.327367305755615,False
111,10,9,-1.0,50.0,30,101,70,25.92417812347412,False
112,9,4,1.0,50.0,79,101,82,51.24443745613098,False
113,4,4,1.0,70.0,74,101,75,47.18215227127075,False
114,11,2,1.0,70.0,78,101,69,48.907623291015625,False
115,11,4,1.0,50.0,72,101,71,46.10968732833862,False
116,7,7,1.0,20.0,84,101,68,54.9498918056488,False
117,2,8,1.0,50.0,73,101,90,46.1843798160553,False
118,11,2,-1.0,10.0,71,101,67,40.04815578460693,False
119,5,8,-1.0,40.0,25,101,63,24.785956859588623,False
120,10,4,1.0,60.0,70,101,79,45.589974880218506,False
121,5,7,1.0,-1.0,66,101,65,43.08587527275085,False
122,7,6,-1.0,30.0,41,101,74,30.2022123336792,False
123,7,7,1.0,40.0,86,101,66,50.56518769264221,False
